,Name,Nationality,Nationality_codes,Gender,Gender_codes,Discipline,Discipline_codes,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Year,month,experience_dive,experience_discipline
511,Andrey Matveenko,AIN,0,M,1,CWT,1,120.0,120.0,WHITE,120.0,Ok,Depth World Championship,Depth Competition,2024-09-14,2024,9,13,7
512,Andrey Matveenko,AIN,0,M,1,FIM,3,106.0,106.0,YELLOW,105.0,No tag,Depth World Championship,Depth Competition,2024-09-15,2024,9,14,5
513,Andrey Mezhetov,RUS,77,M,1,FIM,3,25.0,25.0,WHITE,25.0,Ok,AIDA Lazurnaya Glubina 2020,Depth Competition,2020-07-19,2020,7,1,1
514,Andrey Ponomarev,RUS,77,M,1,CNF,0,52.0,52.0,WHITE,52.0,Ok,Russian Open depth Championship 2019,Depth Competition,2019-05-20,2019,5,1,1
515,Andrey Ponomarev,RUS,77,M,1,FIM,3,66.0,66.0,WHITE,66.0,Ok,Russian Open depth Championship 2019,Depth Competition,2019-05-21,2019,5,2,1
516,Andrey Ponomarev,RUS,77,M,1,CWT,1,72.0,72.0,WHITE,72.0,Ok,Russian Open depth Championship 2019,Depth Competition,2019-05-22,2019,5,3,1
517,Andrey Ponomarev,RUS,77,M,1,CNF,0,54.0,54.0,WHITE,54.0,Ok,AIDA Depth World Championship 2019,World Championship,2019-09-09,2019,9,4,2
518,Andrey Ponomarev,RUS,77,M,1,FIM,3,67.0,67.0,WHITE,67.0,Ok,AIDA Depth World Championship 2019,World Championship,2019-09-11,2019,9,5,2
519,Andrey Ponomarev,RUS,77,M,1,CWT,1,74.0,74.0,WHITE,74.0,Ok,AIDA Depth World Championship 2019,World Championship,2019-09-13,2019,9,6,2
520,Andrey Zhdanov,RUS,77,M,1,CWTB,2,61.0,61.0,WHITE,61.0,Ok,AIDA Russian Depth Championship 2020,Depth Competition,2020-09-03,2020,9,1,1
